Peak_ID;Gene_Name
chr22-31795289-31796212;DRG1
chr22-31741974-31742771;PATZ1
chr22-31739590-31740362;PATZ1
chr22-31556403-31557306;RNF185
chr22-31477091-31477979;SMTN
chr22-31286085-31286956;OSBP2
chr22-31159771-31160645;OSBP2
chr22-30822178-30822995;SEC14L3
chr22-30822178-30822995;MTFP1
chr22-30709790-30710701;TBC1D10A
chr22-30680595-30681494;CASTOR1
chr22-30649128-30650028;LIF
chr22-30485127-30486026;HORMAD2
chr22-30279141-30280065;MTMR3
chr22-30085698-30086603;NF2
chr22-30031741-30032390;NF2
chr22-29700855-29701755;GAS2L1
chr22-29640786-29641640;RHBDD3
chr22-29640786-29641640;EMID1
chr22-29603065-29603952;EMID1
chr22-29589711-29590598;EMID1
chr7-44196126-44197044;GCK
chr7-44227929-44228831;GCK
chr7-44240735-44241635;YKT6
chr7-44505315-44506113;NUDCD3
chr7-44621050-44621901;TMED4
chr7-44887136-44887954;H2AZ2
chr7-47474935-47475817;TNS3
chr7-47574438-47575276;TNS3
chr7-50182433-50183355;SPATA48
chr7-50220192-50220704;SPATA48
chr7-50347364-50348233;IKZF1
chr7-50352091-50352945;IKZF1
chr7-50366950-50367798;IKZF1
chr7-50449942-50450853;IKZF1
chr7-50467686-50468593;IKZF1
chr7-50724369-50725249;GRB10
chr7-51158328-51159008;COBL
chr2-68594948-68595802;PLEK
chr2-68385252-68386145;PNO1
chr2-68385252-68386145;DNAAF10
chr2-65606027-65606916;SPRED2
chr2-65356929-65357658;RAB1A
chr2-65215776-65216634;SLC1A4
chr2-64978611-64979497;SERTAD2
chr2-64937632-64938549;SERTAD2
chr2-64880903-64881791;SERTAD2
chr2-64873188-64874092;SERTAD2
chr2-64750758-64751674;AFTPH
chr2-61763912-61764818;XPO1
chr2-60780460-60781365;BCL11A
chr2-55153726-55154591;EML6
chr2-54787517-54788411;SPTBN1
chr2-54685836-54686746;SPTBN1
chr2-54681288-54682026;SPTBN1
chr2-54603860-54604527;C2orf73
chr2-54013796-54014706;ERLEC1
chr2-54013796-54014706;ASB3
chr2-53994488-53995340;ASB3
chr2-53994488-53995340;CHAC2
chr5-172978489-172979383;BOD1L2
chr5-172978489-172979383;BOD1
chr5-158765149-158766021;IL12B
chr5-158559686-158560418;RNF145
chr5-158521670-158522534;EBF1
chr5-157288356-157289234;CLINT1
chr5-180670224-180671052;RACK1
chr5-180650011-180650830;TRIM41
chr12-123753915-123754746;TRIM7
chr12-123753915-123754746;CDK2AP1
chr5-177554119-177554982;RMND5B
chr5-133968204-133969079;SEC24A
chr5-133968204-133969079;SAR1B
chr5-133459664-133460546;TCF7
chr5-132446847-132447706;HSPA4
chr5-132387581-132388295;HSPA4
chr5-132265430-132266319;AFF4
chr5-132049866-132050767;KIF3A
chr5-131608394-131609308;PDLIM4
chr5-131524181-131524879;P4HA2
chr5-131084245-131085112;FNIP1
chr5-150427297-150428036;TNIP1
chr5-150544457-150545357;ANXA6
chr5-151098028-151098838;SPARC
chr5-151150190-151151085;G3BP1
chr5-151151632-151152492;G3BP1
chr5-154238778-154239679;CNOT8
chr1-228108953-228109845;WNT3A
chr1-228108953-228109845;WNT9A
chr1-247494546-247495448;ZNF496
chr1-82979414-82980323;OR2B11
chr17-17205979-17206900;NT5M
chr17-17306610-17307239;NT5M
chr17-17595301-17596233;RAI1
chr17-17700121-17701008;RAI1
chr17-17726310-17727140;SREBF1
chr17-17740576-17741482;SREBF1
chr17-17835976-17836810;TOM1L2
chr17-18217171-18218058;TOP3A
chr17-18217171-18218058;SMCR8
chr17-21191585-21192495;MAP2K3
chr17-20908197-20909093;USP22
chr17-15850066-15850769;SPECC1
chr17-15850066-15850769;ADORA2B
chr17-15237860-15238720;TEKT3
chr17-14203293-14204077;HS3ST3B1
chr17-10633534-10634438;TMEM220
chr17-10198435-10199308;MYH13
chr17-8894679-8895592;NTN1
chr17-8868588-8869208;PIK3R5
chr17-8338015-8338923;NDEL1
chr17-8152107-8152956;PFAS
chr17-8150862-8151750;CTC1
chr17-8152107-8152956;CTC1
chr17-8093636-8094520;AURKB
chr17-8093636-8094520;BORCS6
chr17-8079774-8080174;TMEM107
chr17-8059968-8060861;VAMP2
chr17-8059968-8060861;PER1
chr17-8023712-8024598;HES7
chr17-7892045-7892950;RNU6-604P
chr17-7835102-7835930;TRAPPC1
chr17-7835102-7835930;CNTROB
chr17-7745555-7746474;KDM6B
chr17-7646795-7647660;DNAH2
chr17-7589020-7589922;WRAP53
chr17-7589020-7589922;TP53
chr17-7477263-7478076;EIF4A1
chr17-7475640-7476473;EIF4A1
chr17-7306907-7307803;TMEM256
chr17-7239227-7240129;ACAP1
chr17-7204733-7205616;YBX2
chr17-7183770-7184667;SLC2A4
chr17-7137163-7137931;DVL2
